loading annotations into memory...
Done (t=0.12s)
creating index...
index created!
Script running in the background. Check 'ablation.log' for logs.
2024-07-12 14:17:31,267 - INFO - Available GPUs: 8
2024-07-12 16:10:10,998 - INFO - Finished Experiment: Architecture=deeplabv3, Loss=xe, Balance=False, Batch Size=32
2024-07-12 16:10:11,001 - INFO - Running experiment: Architecture=deeplabv3, Loss=dice, Balance=True, Batch Size=16
2024-07-12 16:14:59,617 - INFO - Finished Experiment: Architecture=deeplabv3, Loss=xe, Balance=True, Batch Size=16
2024-07-12 16:14:59,621 - INFO - Running experiment: Architecture=deeplabv3, Loss=dice, Balance=True, Batch Size=32
2024-07-12 16:15:15,770 - INFO - Finished Experiment: Architecture=deeplabv3, Loss=xe, Balance=True, Batch Size=32
2024-07-12 16:15:15,777 - INFO - Running experiment: Architecture=deeplabv3, Loss=dicebce, Balance=False, Batch Size=8
2024-07-12 16:17:22,406 - INFO - Finished Experiment: Architecture=deeplabv3, Loss=xe, Balance=True, Batch Size=8
2024-07-12 16:17:22,409 - INFO - Running experiment: Architecture=deeplabv3, Loss=dicebce, Balance=False, Batch Size=16
2024-07-12 16:22:57,664 - INFO - Finished Experiment: Architecture=deeplabv3, Loss=dice, Balance=False, Batch Size=16
2024-07-12 16:22:57,667 - INFO - Running experiment: Architecture=deeplabv3, Loss=dicebce, Balance=False, Batch Size=32
2024-07-12 16:23:37,171 - INFO - Finished Experiment: Architecture=deeplabv3, Loss=dice, Balance=False, Batch Size=32
2024-07-12 16:23:37,173 - INFO - Running experiment: Architecture=deeplabv3, Loss=dicebce, Balance=True, Batch Size=8
2024-07-12 16:30:38,446 - INFO - Finished Experiment: Architecture=deeplabv3, Loss=dice, Balance=True, Batch Size=16
2024-07-12 16:30:38,448 - INFO - Running experiment: Architecture=deeplabv3, Loss=dicebce, Balance=True, Batch Size=16
2024-07-12 16:31:03,174 - INFO - Finished Experiment: Architecture=deeplabv3, Loss=dice, Balance=True, Batch Size=8
2024-07-12 16:31:03,179 - INFO - Running experiment: Architecture=deeplabv3, Loss=dicebce, Balance=True, Batch Size=32
2024-07-12 16:32:03,039 - INFO - Finished Experiment: Architecture=deeplabv3, Loss=dice, Balance=False, Batch Size=8
2024-07-12 16:32:03,041 - INFO - Running experiment: Architecture=segnet, Loss=xe, Balance=False, Batch Size=8
2024-07-12 16:36:36,548 - INFO - Finished Experiment: Architecture=deeplabv3, Loss=dice, Balance=True, Batch Size=32
2024-07-12 16:36:36,552 - INFO - Running experiment: Architecture=segnet, Loss=xe, Balance=False, Batch Size=16
2024-07-12 16:40:28,660 - INFO - Finished Experiment: Architecture=deeplabv3, Loss=dicebce, Balance=False, Batch Size=16
2024-07-12 16:40:28,662 - INFO - Running experiment: Architecture=segnet, Loss=xe, Balance=False, Batch Size=32
2024-07-12 16:44:01,152 - INFO - Finished Experiment: Architecture=deeplabv3, Loss=dicebce, Balance=False, Batch Size=8
2024-07-12 16:44:01,154 - INFO - Running experiment: Architecture=segnet, Loss=xe, Balance=True, Batch Size=8
2024-07-12 16:44:23,344 - INFO - Finished Experiment: Architecture=deeplabv3, Loss=dicebce, Balance=False, Batch Size=32
2024-07-12 16:44:23,346 - INFO - Running experiment: Architecture=segnet, Loss=xe, Balance=True, Batch Size=16
2024-07-12 16:46:26,557 - INFO - Finished Experiment: Architecture=segnet, Loss=xe, Balance=False, Batch Size=8
2024-07-12 16:46:26,559 - INFO - Running experiment: Architecture=segnet, Loss=xe, Balance=True, Batch Size=32
2024-07-12 16:50:20,430 - INFO - Finished Experiment: Architecture=segnet, Loss=xe, Balance=False, Batch Size=16
2024-07-12 16:50:20,440 - INFO - Running experiment: Architecture=segnet, Loss=dice, Balance=False, Batch Size=8
2024-07-12 16:51:03,557 - INFO - Finished Experiment: Architecture=segnet, Loss=xe, Balance=False, Batch Size=32
2024-07-12 16:51:03,560 - INFO - Running experiment: Architecture=segnet, Loss=dice, Balance=False, Batch Size=16
2024-07-12 16:53:00,018 - INFO - Finished Experiment: Architecture=deeplabv3, Loss=dicebce, Balance=True, Batch Size=32
2024-07-12 16:53:00,021 - INFO - Running experiment: Architecture=segnet, Loss=dice, Balance=False, Batch Size=32
2024-07-12 16:53:03,916 - INFO - Finished Experiment: Architecture=deeplabv3, Loss=dicebce, Balance=True, Batch Size=8
2024-07-12 16:53:03,922 - INFO - Running experiment: Architecture=segnet, Loss=dice, Balance=True, Batch Size=8
2024-07-12 16:53:15,594 - INFO - Finished Experiment: Architecture=deeplabv3, Loss=dicebce, Balance=True, Batch Size=16
2024-07-12 16:53:15,596 - INFO - Running experiment: Architecture=segnet, Loss=dice, Balance=True, Batch Size=16
2024-07-12 16:55:38,480 - INFO - Finished Experiment: Architecture=segnet, Loss=xe, Balance=True, Batch Size=16
2024-07-12 16:55:38,484 - INFO - Running experiment: Architecture=segnet, Loss=dice, Balance=True, Batch Size=32
